name,geoid,pop
"Alabama, Alabama",01000,5039877
"Autauga County, Alabama",01001,59095
"Baldwin County, Alabama",01003,239294
"Barbour County, Alabama",01005,24964
"Bibb County, Alabama",01007,22477
"Blount County, Alabama",01009,59041
"Bullock County, Alabama",01011,10320
"Butler County, Alabama",01013,18884
"Calhoun County, Alabama",01015,115972
"Chambers County, Alabama",01017,34541
"Cherokee County, Alabama",01019,24996
"Chilton County, Alabama",01021,45274
"Choctaw County, Alabama",01023,12533
"Clarke County, Alabama",01025,22760
"Clay County, Alabama",01027,14190
"Cleburne County, Alabama",01029,15103
"Coffee County, Alabama",01031,54174
"Colbert County, Alabama",01033,57474
"Conecuh County, Alabama",01035,11328
"Coosa County, Alabama",01037,10450
"Covington County, Alabama",01039,37524
"Crenshaw County, Alabama",01041,13083
"Cullman County, Alabama",01043,89496
"Dale County, Alabama",01045,49342
"Dallas County, Alabama",01047,37619
"DeKalb County, Alabama",01049,71813
"Elmore County, Alabama",01051,89304
"Escambia County, Alabama",01053,36699
"Etowah County, Alabama",01055,103162
"Fayette County, Alabama",01057,16148
"Franklin County, Alabama",01059,32013
"Geneva County, Alabama",01061,26701
"Greene County, Alabama",01063,7629
"Hale County, Alabama",01065,14754
"Henry County, Alabama",01067,17459
"Houston County, Alabama",01069,107458
"Jackson County, Alabama",01071,52773
"Jefferson County, Alabama",01073,667820
"Lamar County, Alabama",01075,13689
"Lauderdale County, Alabama",01077,94043
"Lawrence County, Alabama",01079,33090
"Lee County, Alabama",01081,177218
"Limestone County, Alabama",01083,107517
"Lowndes County, Alabama",01085,9965
"Macon County, Alabama",01087,18895
"Madison County, Alabama",01089,395211
"Marengo County, Alabama",01091,18996
"Marion County, Alabama",01093,29246
"Marshall County, Alabama",01095,98228
"Mobile County, Alabama",01097,413073
"Monroe County, Alabama",01099,19648
"Montgomery County, Alabama",01101,227434
"Morgan County, Alabama",01103,123668
"Perry County, Alabama",01105,8355
"Pickens County, Alabama",01107,18801
"Pike County, Alabama",01109,32991
"Randolph County, Alabama",01111,21989
"Russell County, Alabama",01113,58722
"St. Clair County, Alabama",01115,92748
"Shelby County, Alabama",01117,226902
"Sumter County, Alabama",01119,12164
"Talladega County, Alabama",01121,81524
"Tallapoosa County, Alabama",01123,41023
"Tuscaloosa County, Alabama",01125,227007
"Walker County, Alabama",01127,64818
"Washington County, Alabama",01129,15147
"Wilcox County, Alabama",01131,10446
"Winston County, Alabama",01133,23652
"Alaska, Alaska",02000,732673
"Aleutians East Borough, Alaska",02013,3398
"Aleutians West Census Area, Alaska",02016,5059
"Anchorage Municipality, Alaska",02020,288121
"Bethel Census Area, Alaska",02050,18557
"Bristol Bay Borough, Alaska",02060,838
"Chugach Census Area, Alaska",02063,6941
"Copper River Census Area, Alaska",02066,2630
"Denali Borough, Alaska",02068,1593
"Dillingham Census Area, Alaska",02070,4772
"Fairbanks North Star Borough, Alaska",02090,95593
"Haines Borough, Alaska",02100,2071
"Hoonah-Angoon Census Area, Alaska",02105,2332
"Juneau City and Borough, Alaska",02110,31973
"Kenai Peninsula Borough, Alaska",02122,59767
"Ketchikan Gateway Borough, Alaska",02130,13754
"Kodiak Island Borough, Alaska",02150,12787
"Kusilvak Census Area, Alaska",02158,8360
"Lake and Peninsula Borough, Alaska",02164,1416
"Matanuska-Susitna Borough, Alaska",02170,110686
"Nome Census Area, Alaska",02180,9865
"North Slope Borough, Alaska",02185,10972
"Northwest Arctic Borough, Alaska",02188,7560
"Petersburg Borough, Alaska",02195,3356
"Prince of Wales-Hyder Census Area, Alaska",02198,5729
"Sitka City and Borough, Alaska",02220,8407
"Skagway Municipality, Alaska",02230,1132
"Southeast Fairbanks Census Area, Alaska",02240,6970
"Wrangell City and Borough, Alaska",02275,2055
"Yakutat City and Borough, Alaska",02282,704
"Yukon-Koyukuk Census Area, Alaska",02290,5275
"Arizona, Arizona",04000,7276316
"Apache County, Arizona",04001,65623
"Cochise County, Arizona",04003,126050
"Coconino County, Arizona",04005,145052
"Gila County, Arizona",04007,53589
"Graham County, Arizona",04009,39050
"Greenlee County, Arizona",04011,9404
"La Paz County, Arizona",04012,16408
"Maricopa County, Arizona",04013,4496588
"Mohave County, Arizona",04015,217692
"Navajo County, Arizona",04017,108147
"Pima County, Arizona",04019,1052030
"Pinal County, Arizona",04021,449557
"Santa Cruz County, Arizona",04023,47883
"Yavapai County, Arizona",04025,242253
"Yuma County, Arizona",04027,206990
"Arkansas, Arkansas",05000,3025891
"Arkansas County, Arkansas",05001,16722
"Ashley County, Arkansas",05003,18674
"Baxter County, Arkansas",05005,42144
"Benton County, Arkansas",05007,293692
"Boone County, Arkansas",05009,37830
"Bradley County, Arkansas",05011,10408
"Calhoun County, Arkansas",05013,4741
"Carroll County, Arkansas",05015,28435
"Chicot County, Arkansas",05017,10019
"Clark County, Arkansas",05019,21321
"Clay County, Arkansas",05021,14350
"Cleburne County, Arkansas",05023,25015
"Cleveland County, Arkansas",05025,7514
"Columbia County, Arkansas",05027,22672
"Conway County, Arkansas",05029,20873
"Craighead County, Arkansas",05031,112218
"Crawford County, Arkansas",05033,60378
"Crittenden County, Arkansas",05035,47525
"Cross County, Arkansas",05037,16681
"Dallas County, Arkansas",05039,6308
"Desha County, Arkansas",05041,11090
"Drew County, Arkansas",05043,17110
"Faulkner County, Arkansas",05045,125106
"Franklin County, Arkansas",05047,17173
"Fulton County, Arkansas",05049,12145
"Garland County, Arkansas",05051,100330
"Grant County, Arkansas",05053,18090
